run_id,run_tag,seed,method,avg_responseT,total_rewards,success_rate,success_time_rate,finishT,cost,match_rate,assigned_malicious,assigned_normal,assigned_trusted,primary_success_rate,backup_used_rate,backup_recovery_rate,conditional_backup_recovery_rate,backup_skipped_rate,backup_score_mean,primary_malicious,backup_malicious,primary_trusted,backup_trusted,cost_per_success,hcrl_single_mode_rate,hcrl_serial_mode_rate,hcrl_parallel_mode_rate,constraint_violation_rate,cost_violation_mean,latency_violation_mean,risk_violation_mean,hcrl_lambda_cost_mean,hcrl_lambda_latency_mean,hcrl_lambda_risk_mean
26_5_10_19_01_Epoch30_Req6000_rl_harder_Seed6_hcrl_v4_balanced_dqn_compare,hcrl_v4_balanced_dqn_compare,6,DQN,6.029,1352.861,0.726,0.726,71798.678,0.87276,1.0,86.0,188.0,3725.0,0.726,0.0,0.0,0.0,0.0,0.0,86.0,0.0,3725.0,0.0,1.21055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26_5_10_19_01_Epoch30_Req6000_rl_harder_Seed6_hcrl_v4_balanced_dqn_compare,hcrl_v4_balanced_dqn_compare,6,HCRL-Oracle,6.164,2380.824,0.821,0.821,71798.601,1.09387,1.0,107.0,1107.0,4792.0,0.499,0.502,0.322,0.633,0.023,0.62,95.0,12.0,2813.0,1979.0,1.33687,0.449,0.049,0.502,0.676,0.1802,0.4098,0.0251,0.0,0.0,0.0
