request_id,method,method_id,mode_code,mode_index,mode_name,primary_oracle,backup_oracle,policy_hash,submit_function,gas_used,latency_sec,tx_hash
1,HCRL-Oracle,5,1,2,serial_safe,29,24,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
2,HCRL-Oracle,5,1,2,serial_safe,29,24,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
3,HCRL-Oracle,5,1,2,serial_safe,29,24,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
4,HCRL-Oracle,5,2,3,parallel_fast,29,24,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
5,HCRL-Oracle,5,1,2,serial_safe,29,24,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
6,HCRL-Oracle,5,2,3,parallel_fast,29,24,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
7,HCRL-Oracle,5,1,2,serial_safe,29,24,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
8,HCRL-Oracle,5,2,3,parallel_fast,29,24,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
9,HCRL-Oracle,5,1,2,serial_safe,29,24,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
10,HCRL-Oracle,5,1,2,serial_safe,29,24,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
11,HCRL-Oracle,5,1,2,serial_safe,29,24,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
12,HCRL-Oracle,5,1,2,serial_safe,29,24,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
13,HCRL-Oracle,5,2,3,parallel_fast,29,24,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
14,HCRL-Oracle,5,2,3,parallel_fast,29,24,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
15,HCRL-Oracle,5,1,2,serial_safe,29,24,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
16,HCRL-Oracle,5,1,2,serial_safe,29,24,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
17,HCRL-Oracle,5,2,3,parallel_fast,29,24,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
18,HCRL-Oracle,5,2,3,parallel_fast,29,24,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
19,HCRL-Oracle,5,2,3,parallel_fast,29,24,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
20,HCRL-Oracle,5,1,2,serial_safe,29,24,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
21,HCRL-Oracle,5,1,2,serial_safe,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
22,HCRL-Oracle,5,2,3,parallel_fast,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
23,HCRL-Oracle,5,1,2,serial_safe,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
24,HCRL-Oracle,5,1,2,serial_safe,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
25,HCRL-Oracle,5,2,3,parallel_fast,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
26,HCRL-Oracle,5,2,3,parallel_fast,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
27,HCRL-Oracle,5,1,2,serial_safe,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
28,HCRL-Oracle,5,2,3,parallel_fast,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
29,HCRL-Oracle,5,1,2,serial_safe,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
30,HCRL-Oracle,5,2,3,parallel_fast,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
31,HCRL-Oracle,5,2,3,parallel_fast,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
32,HCRL-Oracle,5,2,3,parallel_fast,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
33,HCRL-Oracle,5,1,2,serial_safe,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
34,HCRL-Oracle,5,2,3,parallel_fast,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
35,HCRL-Oracle,5,2,3,parallel_fast,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
36,HCRL-Oracle,5,2,3,parallel_fast,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
37,HCRL-Oracle,5,1,2,serial_safe,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
38,HCRL-Oracle,5,1,2,serial_safe,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
39,HCRL-Oracle,5,2,3,parallel_fast,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
40,HCRL-Oracle,5,2,3,parallel_fast,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
41,HCRL-Oracle,5,2,3,parallel_fast,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
42,HCRL-Oracle,5,1,2,serial_safe,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
43,HCRL-Oracle,5,2,3,parallel_fast,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
44,HCRL-Oracle,5,1,2,serial_safe,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
45,HCRL-Oracle,5,1,2,serial_safe,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
46,HCRL-Oracle,5,1,2,serial_safe,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
47,HCRL-Oracle,5,2,3,parallel_fast,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
