request_id,method,method_id,mode_code,mode_index,mode_name,primary_oracle,backup_oracle,policy_hash,submit_function,gas_used,latency_sec,tx_hash
48,HCRL-Oracle,5,1,2,serial_safe,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
49,HCRL-Oracle,5,1,2,serial_safe,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
50,HCRL-Oracle,5,1,2,serial_safe,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
51,HCRL-Oracle,5,1,2,serial_safe,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
52,HCRL-Oracle,5,2,3,parallel_fast,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
53,HCRL-Oracle,5,2,3,parallel_fast,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
54,HCRL-Oracle,5,2,3,parallel_fast,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
55,HCRL-Oracle,5,2,3,parallel_fast,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
56,HCRL-Oracle,5,2,3,parallel_fast,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
57,HCRL-Oracle,5,2,3,parallel_fast,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
58,HCRL-Oracle,5,1,2,serial_safe,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
59,HCRL-Oracle,5,1,2,serial_safe,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
60,HCRL-Oracle,5,2,3,parallel_fast,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
61,HCRL-Oracle,5,2,3,parallel_fast,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
62,HCRL-Oracle,5,2,3,parallel_fast,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
63,HCRL-Oracle,5,2,3,parallel_fast,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
64,HCRL-Oracle,5,2,3,parallel_fast,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
65,HCRL-Oracle,5,2,3,parallel_fast,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
66,HCRL-Oracle,5,2,3,parallel_fast,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
67,HCRL-Oracle,5,2,3,parallel_fast,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
68,HCRL-Oracle,5,1,2,serial_safe,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
69,HCRL-Oracle,5,2,3,parallel_fast,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
70,HCRL-Oracle,5,2,3,parallel_fast,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
71,HCRL-Oracle,5,2,3,parallel_fast,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
72,HCRL-Oracle,5,1,2,serial_safe,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
73,HCRL-Oracle,5,1,2,serial_safe,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
74,HCRL-Oracle,5,1,2,serial_safe,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
75,HCRL-Oracle,5,1,2,serial_safe,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
76,HCRL-Oracle,5,2,3,parallel_fast,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
77,HCRL-Oracle,5,2,3,parallel_fast,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
78,HCRL-Oracle,5,2,3,parallel_fast,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
79,HCRL-Oracle,5,1,2,serial_safe,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
80,HCRL-Oracle,5,1,2,serial_safe,29,24,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
81,HCRL-Oracle,5,1,2,serial_safe,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
82,HCRL-Oracle,5,1,2,serial_safe,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
83,HCRL-Oracle,5,1,2,serial_safe,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
84,HCRL-Oracle,5,1,2,serial_safe,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
85,HCRL-Oracle,5,2,3,parallel_fast,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
86,HCRL-Oracle,5,1,2,serial_safe,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
87,HCRL-Oracle,5,2,3,parallel_fast,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
88,HCRL-Oracle,5,1,2,serial_safe,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
89,HCRL-Oracle,5,1,2,serial_safe,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
90,HCRL-Oracle,5,1,2,serial_safe,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
91,HCRL-Oracle,5,2,3,parallel_fast,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
92,HCRL-Oracle,5,1,2,serial_safe,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
93,HCRL-Oracle,5,2,3,parallel_fast,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
94,HCRL-Oracle,5,1,2,serial_safe,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
95,HCRL-Oracle,5,1,2,serial_safe,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
96,HCRL-Oracle,5,1,2,serial_safe,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
97,HCRL-Oracle,5,2,3,parallel_fast,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
98,HCRL-Oracle,5,2,3,parallel_fast,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
99,HCRL-Oracle,5,2,3,parallel_fast,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
100,HCRL-Oracle,5,2,3,parallel_fast,19,14,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,dry_run,0,0.0,
